Tipo,Evento_Desemparelhado,Data/Hora Evento,Sequência,Tipo Mensagem,Observação
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:20:55,439,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:21:14, seq: 440)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:20:55,439,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:21:14,440,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:21:14,440,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:23:08, seq: 442)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:23:08,442,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:24:33, seq: 443)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:23:08,442,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:24:33,443,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:26:00, seq: 444)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:24:33,443,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:26:00,444,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:26:19, seq: 445)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:26:00,444,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:26:19,445,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:26:38, seq: 447)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:26:19,445,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:26:38,447,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:27:35, seq: 448)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:26:38,447,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:27:35,448,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:27:35,448,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:30:20, seq: 449)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:30:20,449,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:31:12, seq: 451)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:30:20,449,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:31:12,451,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:31:39, seq: 452)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:31:12,451,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:31:39,452,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:31:39,452,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:34:39, seq: 454)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:34:39,454,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:35:17, seq: 455)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:34:39,454,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:35:17,455,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:42:13, seq: 457)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:35:17,455,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:42:13,457,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:42:13,457,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:43:41, seq: 459)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:43:41,459,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:43:41,459,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:44:03, seq: 460)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:44:03,460,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:44:03,460,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:45:42, seq: 461)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:45:42,461,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:45:42,461,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:47:34, seq: 463)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:47:34,463,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:47:34,463,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:50:02, seq: 464)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:50:02,464,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:59:32, seq: 468)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:50:02,464,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:59:32,468,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 12:00:34, seq: 469)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:59:32,468,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 12:00:34,469,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 12:17:25, seq: 481)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 12:00:34,469,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 12:17:25,481,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 12:19:28, seq: 483)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 12:17:25,481,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 12:19:28,483,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 12:25:14, seq: 485)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 12:19:28,483,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 12:25:14,485,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 12:25:14,485,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 12:26:01, seq: 486)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 12:26:01,486,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 12:28:49, seq: 488)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 12:26:01,486,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 12:28:49,488,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:26:12, seq: 510)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 12:28:49,488,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:26:12,510,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:26:12,510,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:26:57, seq: 512)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:26:57,512,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:29:09, seq: 513)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:26:57,512,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:29:09,513,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:29:09,513,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:30:15, seq: 514)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:30:15,514,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:30:15,514,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:31:09, seq: 516)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:31:09,516,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:31:09,516,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:34:04, seq: 517)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:34:04,517,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:34:24, seq: 518)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:34:04,517,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:34:24,518,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:36:15, seq: 520)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:34:24,518,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:36:15,520,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:36:15,520,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:36:37, seq: 521)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:36:37,521,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:37:07, seq: 522)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:36:37,521,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:37:07,522,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:37:07,522,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:42:35, seq: 524)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:42:35,524,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:42:35,524,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:44:23, seq: 526)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:44:23,526,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:44:23,526,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:46:15, seq: 527)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:46:15,527,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:47:09, seq: 529)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:46:15,527,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:47:09,529,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:47:09,529,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:48:32, seq: 530)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:48:32,530,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:48:48, seq: 531)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:48:32,530,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:48:48,531,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 13:56:57, seq: 534)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:48:48,531,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 13:56:57,534,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 13:56:57,534,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:00:00, seq: 536)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:00:00,536,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:00:00,536,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:03:01, seq: 538)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:03:01,538,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:04:22, seq: 539)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:03:01,538,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:04:22,539,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:04:22,539,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:05:44, seq: 540)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:05:44,540,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:05:44,540,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:09:12, seq: 542)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:09:12,542,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:09:12,542,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:09:54, seq: 543)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:09:54,543,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:10:25, seq: 544)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:09:54,543,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:10:25,544,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:19:58, seq: 548)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:10:25,544,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:19:58,548,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:20:29, seq: 549)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:19:58,548,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:20:29,549,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:21:26, seq: 550)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:20:29,549,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:21:26,550,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:24:22, seq: 552)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:21:26,550,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:24:22,552,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:25:27, seq: 554)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:24:22,552,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:25:27,554,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:27:06, seq: 556)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:25:27,554,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:27:06,556,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
